model_name,dataset_name,target_name,metric_name,metric_value
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,auroc,0.6214
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,precision,0.2727
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,recall,0.6
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,auprc,0.3485
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,log_loss,0.6777
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,acc,0.6154
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,f1,0.5486
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,TN,26.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,FP,16.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,FN,4.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,TP,6.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,class_true_count,10.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,class_false_count,42.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,specificity,0.619
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,pred_true_count,22.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,nsamples,52.0
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,pred_prevalence,0.4231
baseline_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,actual_prevalence,0.1923
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,auroc,0.6254
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,precision,0.8529
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,recall,0.3816
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,auprc,0.8971
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,log_loss,0.705
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,acc,0.4286
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,f1,0.4025
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,TN,10.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,FP,5.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,FN,47.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,TP,29.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,class_true_count,76.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,class_false_count,15.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,specificity,0.6667
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,pred_true_count,34.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,nsamples,91.0
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,pred_prevalence,0.3736
baseline_clinical_BERT_1_epoch_512,pheno_all,any_acute,actual_prevalence,0.8352
