Dataset,Target,Metric,Baseline 128,Baseline 512,Adv BERT 512
inhosp_mort,inhosp_mort,auroc,0.5167,0.4262,0.2714
inhosp_mort,inhosp_mort,precision,0.2041,0.1111,0.1489
inhosp_mort,inhosp_mort,recall,1.0,0.2,0.7
inhosp_mort,inhosp_mort,auprc,0.2407,0.1768,0.1407
inhosp_mort,inhosp_mort,log_loss,0.7871,0.6895,0.7712
inhosp_mort,inhosp_mort,acc,0.25,0.5385,0.1731
inhosp_mort,inhosp_mort,f1,0.2362,0.4135,0.1654
inhosp_mort,inhosp_mort,TN,3.0,26.0,2.0
inhosp_mort,inhosp_mort,FP,39.0,16.0,40.0
inhosp_mort,inhosp_mort,FN,0.0,8.0,3.0
inhosp_mort,inhosp_mort,TP,10.0,2.0,7.0
inhosp_mort,inhosp_mort,class_true_count,10.0,10.0,10.0
inhosp_mort,inhosp_mort,class_false_count,42.0,42.0,42.0
inhosp_mort,inhosp_mort,specificity,0.0714,0.619,0.0476
inhosp_mort,inhosp_mort,pred_true_count,49.0,18.0,47.0
inhosp_mort,inhosp_mort,nsamples,52.0,52.0,52.0
inhosp_mort,inhosp_mort,pred_prevalence,0.9423,0.3462,0.9038
inhosp_mort,inhosp_mort,actual_prevalence,0.1923,0.1923,0.1923
pheno_all,any_acute,auroc,0.5368,0.464,0.386
pheno_all,any_acute,precision,0.8313,0.7941,0.8235
pheno_all,any_acute,recall,0.9079,0.3553,0.9211
pheno_all,any_acute,auprc,0.854,0.8051,0.8221
pheno_all,any_acute,log_loss,0.6194,0.7099,0.6435
pheno_all,any_acute,acc,0.7692,0.3846,0.7692
pheno_all,any_acute,f1,0.4774,0.3566,0.4348
pheno_all,any_acute,TN,1.0,8.0,0.0
pheno_all,any_acute,FP,14.0,7.0,15.0
pheno_all,any_acute,FN,7.0,49.0,6.0
pheno_all,any_acute,TP,69.0,27.0,70.0
pheno_all,any_acute,class_true_count,76.0,76.0,76.0
pheno_all,any_acute,class_false_count,15.0,15.0,15.0
pheno_all,any_acute,specificity,0.0667,0.5333,0.0
pheno_all,any_acute,pred_true_count,83.0,34.0,85.0
pheno_all,any_acute,nsamples,91.0,91.0,91.0
pheno_all,any_acute,pred_prevalence,0.9121,0.3736,0.9341
pheno_all,any_acute,actual_prevalence,0.8352,0.8352,0.8352
pheno_first,any_acute,auroc,0.3714,0.4242,0.5626
pheno_first,any_acute,precision,0.7292,0.6667,0.75
pheno_first,any_acute,recall,1.0,0.0571,0.5143
pheno_first,any_acute,auprc,0.67,0.7066,0.7336
pheno_first,any_acute,log_loss,0.6193,0.7225,0.6874
pheno_first,any_acute,acc,0.7292,0.2917,0.5208
pheno_first,any_acute,f1,0.4217,0.2595,0.4943
pheno_first,any_acute,TN,0.0,24.0,14.0
pheno_first,any_acute,FP,26.0,2.0,12.0
pheno_first,any_acute,FN,0.0,66.0,34.0
pheno_first,any_acute,TP,70.0,4.0,36.0
pheno_first,any_acute,class_true_count,70.0,70.0,70.0
pheno_first,any_acute,class_false_count,26.0,26.0,26.0
pheno_first,any_acute,specificity,0.0,0.9231,0.5385
pheno_first,any_acute,pred_true_count,96.0,6.0,48.0
pheno_first,any_acute,nsamples,96.0,96.0,96.0
pheno_first,any_acute,pred_prevalence,1.0,0.0625,0.5
pheno_first,any_acute,actual_prevalence,0.7292,0.7292,0.7292
